location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
46,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-18,persistence
46,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-25,persistence
46,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2025-10-04,2025-11-01,persistence
47,2025-10-04,2025-10-11,1,1,24.0,24.0,0.0,17.0,24.0,27.0,34.0,2025-10-04,2025-10-11,persistence
47,2025-10-04,2025-10-18,2,2,24.0,24.0,0.0,12.0,24.0,27.0,34.0,2025-10-04,2025-10-18,persistence
47,2025-10-04,2025-10-25,3,3,23.0,23.0,0.0,8.0,23.0,27.0,34.0,2025-10-04,2025-10-25,persistence
47,2025-10-04,2025-11-01,4,4,22.0,22.0,0.0,2.0,22.0,26.0,34.0,2025-10-04,2025-11-01,persistence
48,2025-10-04,2025-10-11,1,1,99.0,99.0,14.0,92.0,99.0,102.0,109.0,2025-10-04,2025-10-11,persistence
48,2025-10-04,2025-10-18,2,2,99.0,99.0,0.0,87.0,99.0,102.0,109.0,2025-10-04,2025-10-18,persistence
48,2025-10-04,2025-10-25,3,3,98.0,98.0,0.0,83.0,98.0,102.0,109.0,2025-10-04,2025-10-25,persistence
48,2025-10-04,2025-11-01,4,4,97.0,97.0,0.0,77.0,97.0,101.0,109.0,2025-10-04,2025-11-01,persistence
49,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-11,persistence
49,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-18,persistence
49,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-25,persistence
49,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2025-10-04,2025-11-01,persistence
50,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-11,persistence
50,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-18,persistence
50,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-25,persistence
50,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2025-10-04,2025-11-01,persistence
51,2025-10-04,2025-10-11,1,1,13.0,13.0,0.0,6.0,13.0,16.0,23.0,2025-10-04,2025-10-11,persistence
